,hex9,value
754,891f1657533ffff,972.0119
755,891f1657537ffff,1261.2666
756,891f16562cbffff,1186.7211
757,891f16575abffff,1026.0713
758,891f16575afffff,1483.3751
759,891f16562dbffff,1639.0114
760,891f165620bffff,115.91244
761,891f165620fffff,513.7996
762,891f16562cfffff,866.24805
763,891f165621bffff,373.73157
764,891f1656203ffff,159.52972
765,891f1656207ffff,510.32745
766,891f16562c7ffff,795.48615
767,891f1656213ffff,346.7045
768,891f1656217ffff,127.47122
769,891f16562abffff,492.98962
770,891f16562c3ffff,1282.5332
771,891f16575bbffff,1028.7063
772,891f16575a3ffff,1520.9711
773,891f16575a7ffff,1942.9832
774,891f16562d3ffff,1677.9929
775,891f16575b3ffff,1443.7979
776,891f16575b7ffff,1977.8267
777,891f165666bffff,2110.7566
778,891f165666fffff,1697.9685
779,891f165664bffff,1411.9574
780,891f1656237ffff,1066.7899
781,891f16562afffff,958.03094
782,891f16563c3ffff,1682.4315
783,891f16562a3ffff,441.9209
784,891f16562a7ffff,1051.7052
785,891f16563d3ffff,1497.0219
786,891f16563d7ffff,1659.3599
787,891f16562b7ffff,651.66583
788,891f165606bffff,963.71716
789,891f165606fffff,1228.8081
790,891f16562d7ffff,1214.6831
791,891f165628bffff,821.65985
792,891f165628fffff,507.56076
793,891f165629bffff,1332.5037
794,891f1656283ffff,1103.3131
795,891f16562b3ffff,218.26826
796,891f1656667ffff,1776.3405
797,891f1656293ffff,1277.3757
798,891f1656297ffff,678.1417
799,891f165604bffff,204.94368
800,891f165664fffff,1922.6692
801,891f165667bffff,2351.358
802,891f1656663ffff,2180.7607
803,891f1656643ffff,1821.6533
804,891f1656647ffff,2338.163
805,891f1656673ffff,2601.6033
806,891f1656677ffff,2126.3281
807,891f1656653ffff,1773.3796
808,891f1656657ffff,2277.8218
809,891f165660bffff,2733.4028
810,891f165747bffff,154.04793
811,891f165292fffff,316.88705
812,891f165745bffff,210.70078
813,891f1657443ffff,100.20305
814,891f1657447ffff,219.98938
815,891f1652927ffff,175.11673
816,891f1657453ffff,234.60779
817,891f1657457ffff,431.7778
818,891f165740bffff,700.19385
819,891f16574cbffff,587.9546
820,891f1657093ffff,175.72122
821,891f1657097ffff,186.82896
822,891f1657473ffff,418.97757
823,891f1657477ffff,270.0152
824,891f165742bffff,417.7349
825,891f165742fffff,533.6541
826,891f165740fffff,747.8353
827,891f165743bffff,721.5827
828,891f1657423ffff,952.9166
829,891f1657427ffff,936.89746
830,891f165755bffff,515.15076
831,891f1657543ffff,624.9442
832,891f1657547ffff,668.7396
833,891f1657573ffff,580.9923
834,891f1657553ffff,990.902
835,891f1657557ffff,860.61865
836,891f165750bffff,447.54697
837,891f16575cbffff,1306.0797
838,891f16575cfffff,929.1319
839,891f165751bffff,409.99594
840,891f16574cfffff,689.20746
841,891f165741bffff,960.2299
842,891f16574dbffff,995.0436
843,891f16574c3ffff,1071.9662
844,891f16574c7ffff,1205.8416
845,891f1657413ffff,1504.247
846,891f16574d3ffff,1386.6085
847,891f16574d7ffff,1576.3278
848,891f165748bffff,1693.1399
849,891f165748fffff,1987.0221
850,891f1657403ffff,1201.8734
