,hex8,Value,lat,lng,suitability
0,881f160001fffff,0.6279465,52.34008345486254,7.038924728207197,62.8
1,881f160003fffff,0.40711963,52.3390917126894,7.051468808295792,40.7
2,881f160005fffff,0.7383352,52.33413283413881,7.0300394212904775,73.8
3,881f160007fffff,0.5458861,52.33314175339199,7.04258185805062,54.6
4,881f160009fffff,0.6777656,52.34702417454018,7.035266907940836,67.8
5,881f16000bfffff,0.452828,52.34603318610771,7.047812093801625,45.3
6,881f16000dfffff,0.76426613,52.34107378181227,7.026381186215349,76.4
7,881f160019fffff,0.21367069,52.35098896127711,7.069248884569984,21.4
8,881f16001dfffff,0.33834824,52.34504078214119,7.060357817039838,33.8
9,881f160021fffff,0.8053961,52.32123916714159,7.0248141319064485,80.5
10,881f160023fffff,0.7187501,52.32024799363678,7.03735382055972,71.9
11,881f160025fffff,0.8617437,52.31528654112942,7.015933355431647,86.2
12,881f160027fffff,0.79004115,52.314296028260365,7.028471400940248,79.0
