hex9,value
89196949843ffff,10
89196949847ffff,5
8919694984fffff,135
89196949857ffff,15
89196949867ffff,15
8919694986bffff,15
891969498abffff,5
891969498b7ffff,5
891969498bbffff,5
891969498cfffff,25
89196949923ffff,670
89196949927ffff,715
8919694992bffff,295
8919694992fffff,595
89196949933ffff,80
89196949937ffff,700
8919694993bffff,60
89196949947ffff,10
89196949963ffff,315
89196949967ffff,645
8919694996bffff,195
8919694996fffff,515
89196949977ffff,190
891969499afffff,55
89196949a13ffff,160
89196949a17ffff,20
89196949a1bffff,25
89196949a37ffff,5
89196949a43ffff,10
89196949a4fffff,15
89196949a57ffff,55
89196949a83ffff,5
89196949a87ffff,10
89196949a8fffff,55
89196949a97ffff,15
89196949aa3ffff,265
89196949ab3ffff,305
89196949ab7ffff,345
89196949abbffff,115
89196949ac3ffff,10
89196949ac7ffff,15
89196949acbffff,5
89196949acfffff,5
89196949b07ffff,5
89196949b23ffff,30
89196949b27ffff,175
89196949b2bffff,20
89196949b2fffff,780
89196949b37ffff,110
89196949b93ffff,5
89196949c03ffff,215
89196949c0bffff,545
89196949c0fffff,125
89196949c1bffff,360
89196949c23ffff,55
89196949c27ffff,80
89196949c2bffff,80
89196949c2fffff,150
89196949c3bffff,100
89196949c43ffff,30
89196949c47ffff,370
89196949c4fffff,20
89196949c53ffff,280
89196949c57ffff,485
89196949c5bffff,5
89196949c73ffff,190
89196949c77ffff,75
89196949cc3ffff,545
89196949cc7ffff,15
89196949ccbffff,320
89196949ccfffff,550
89196949cd3ffff,125
89196949cdbffff,290
89196949d0bffff,25
89196949d1bffff,10
89196949d47ffff,5
89196949db3ffff,15
89196949dc7ffff,25
89196949dd3ffff,15
89196949dd7ffff,15
89196949e2fffff,10
89196949ea3ffff,15
89196949eafffff,15
8919694a017ffff,25
8919694a033ffff,5
8919694a037ffff,25
8919694a04bffff,65
8919694a04fffff,20
8919694a063ffff,5
8919694a06bffff,50
8919694a06fffff,5
8919694a07bffff,25
8919694a087ffff,45
8919694a08bffff,40
8919694a08fffff,50
8919694a093ffff,35
8919694a097ffff,55
8919694a09bffff,50
8919694a0b3ffff,35
8919694a0cbffff,10
8919694a107ffff,210
8919694a113ffff,265
8919694a117ffff,390
8919694a11bffff,10
8919694a133ffff,70
8919694a137ffff,35
8919694a177ffff,5
8919694a183ffff,35
8919694a187ffff,50
8919694a18bffff,295
8919694a18fffff,435
8919694a19bffff,20
8919694a1a3ffff,185
8919694a1a7ffff,20
8919694a1abffff,615
8919694a1afffff,230
8919694a1bbffff,335
8919694a1c7ffff,30
8919694a1cfffff,20
8919694a227ffff,450
8919694a22fffff,250
8919694a233ffff,10
8919694a237ffff,25
8919694a293ffff,75
8919694a297ffff,125
8919694a2cbffff,10
8919694a2dbffff,20
8919694a347ffff,5
8919694a34bffff,10
8919694a353ffff,180
8919694a35bffff,220
8919694a363ffff,15
8919694a367ffff,10
8919694a383ffff,10
8919694a3a3ffff,5
8919694a3bbffff,10
8919694a3cbffff,160
8919694a3cfffff,10
8919694a3dbffff,15
8919694a403ffff,70
8919694a407ffff,325
8919694a40bffff,80
8919694a40fffff,45
8919694a413ffff,5
8919694a417ffff,195
8919694a41bffff,105
8919694a423ffff,135
8919694a427ffff,305
8919694a42bffff,65
8919694a433ffff,560
8919694a437ffff,185
8919694a43bffff,35
8919694a447ffff,15
8919694a457ffff,45
8919694a467ffff,20
8919694a477ffff,20
8919694a483ffff,260
8919694a487ffff,755
8919694a48bffff,20
8919694a48fffff,655
8919694a493ffff,35
8919694a497ffff,220
8919694a4a3ffff,480
8919694a4a7ffff,385
8919694a4abffff,380
8919694a4afffff,500
8919694a4b3ffff,445
8919694a4b7ffff,270
8919694a4bbffff,530
8919694a4c3ffff,55
8919694a4c7ffff,90
8919694a4cfffff,15
8919694a4d3ffff,60
8919694a4d7ffff,10
8919694a543ffff,220
8919694a547ffff,100
8919694a54fffff,25
8919694a553ffff,50
8919694a55bffff,170
8919694a563ffff,15
8919694a567ffff,5
8919694a573ffff,35
8919694a57bffff,60
8919694a5c3ffff,15
8919694a5cbffff,30
8919694a5d3ffff,30
8919694a5dbffff,0
8919694a60fffff,105
8919694a613ffff,10
8919694a61bffff,5
8919694a62bffff,65
8919694a62fffff,10
8919694a657ffff,5
8919694a663ffff,485
8919694a667ffff,65
8919694a66fffff,20
8919694a673ffff,170
8919694a677ffff,235
8919694a67bffff,20
8919694a6c7ffff,15
8919694a80fffff,135
8919694a813ffff,30
8919694a843ffff,10
8919694a847ffff,15
8919694a84fffff,15
8919694a86fffff,5
8919694a877ffff,25
8919694a87bffff,5
8919694a887ffff,45
8919694a88bffff,30
8919694a88fffff,10
8919694a893ffff,45
8919694a897ffff,200
8919694a8a3ffff,115
8919694a8a7ffff,985
8919694a8afffff,315
8919694a8b7ffff,475
8919694a8bbffff,5
8919694a8c7ffff,15
8919694a8cbffff,10
8919694a8cfffff,20
8919694a903ffff,745
8919694a907ffff,950
8919694a90bffff,645
8919694a90fffff,830
8919694a913ffff,665
8919694a917ffff,535
8919694a91bffff,550
8919694a923ffff,690
8919694a92bffff,170
8919694a933ffff,840
8919694a937ffff,160
8919694a93bffff,735
8919694a943ffff,660
8919694a947ffff,875
8919694a94bffff,595
8919694a94fffff,905
8919694a953ffff,275
8919694a957ffff,905
8919694a95bffff,10
8919694a963ffff,355
8919694a967ffff,630
8919694a96bffff,365
8919694a96fffff,330
8919694a973ffff,840
8919694a977ffff,380
8919694a97bffff,705
8919694a983ffff,805
8919694a987ffff,635
8919694a98bffff,355
8919694a98fffff,825
8919694a993ffff,480
8919694a997ffff,595
8919694a99bffff,480
8919694a9a3ffff,560
8919694a9a7ffff,510
8919694a9abffff,555
8919694a9afffff,395
8919694a9b3ffff,490
8919694a9b7ffff,930
8919694a9bbffff,400
8919694a9c3ffff,60
8919694a9c7ffff,710
8919694a9cbffff,10
8919694a9cfffff,560
8919694a9d3ffff,205
8919694a9d7ffff,235
8919694a9dbffff,455
8919694aa03ffff,575
8919694aa07ffff,195
8919694aa0bffff,510
8919694aa0fffff,565
8919694aa13ffff,745
8919694aa17ffff,625
8919694aa1bffff,580
8919694aa33ffff,5
8919694aa43ffff,30
8919694aa47ffff,520
8919694aa4fffff,195
8919694aa57ffff,95
8919694aa63ffff,500
8919694aa6bffff,335
8919694aa73ffff,660
8919694aa77ffff,20
8919694aa7bffff,740
8919694aa83ffff,80
8919694aa8bffff,50
8919694aa8fffff,275
8919694aa93ffff,45
8919694aa9bffff,50
8919694aaa3ffff,35
8919694aaa7ffff,10
8919694aaabffff,190
8919694aaafffff,30
8919694aab7ffff,30
8919694aac7ffff,285
8919694aacfffff,105
8919694aad7ffff,15
8919694ab0bffff,10
8919694ab87ffff,65
8919694abb3ffff,375
8919694abb7ffff,485
8919694ac03ffff,55
8919694ac07ffff,520
8919694ac13ffff,275
8919694ac17ffff,845
8919694ac1bffff,395
8919694ac23ffff,435
8919694ac27ffff,445
8919694ac2bffff,15
8919694ac2fffff,485
8919694ac33ffff,605
8919694ac37ffff,1040
8919694ac3bffff,20
8919694ac53ffff,25
8919694ac8fffff,85
8919694aca3ffff,285
8919694aca7ffff,890
8919694acabffff,1155
8919694acafffff,525
8919694acb3ffff,220
8919694acb7ffff,240
8919694acbbffff,590
8919694acc3ffff,30
8919694acc7ffff,5
8919694accbffff,40
8919694accfffff,35
8919694acdbffff,95
8919694ad03ffff,585
8919694ad07ffff,185
8919694ad0bffff,535
8919694ad0fffff,810
8919694ad13ffff,675
8919694ad17ffff,820
8919694ad1bffff,1135
8919694ad23ffff,275
8919694ad27ffff,10
8919694ad2bffff,860
8919694ad2fffff,905
8919694ad3bffff,330
8919694ad43ffff,390
8919694ad47ffff,1140
8919694ad4bffff,20
8919694ad4fffff,325
8919694ad53ffff,265
8919694ad57ffff,280
8919694ad5bffff,420
8919694ad63ffff,615
8919694ad67ffff,660
8919694ad6bffff,565
8919694ad6fffff,170
8919694ad73ffff,690
8919694ad77ffff,560
8919694ad7bffff,735
8919694ad83ffff,595
8919694ad87ffff,565
8919694ad8bffff,590
8919694ad8fffff,1210
8919694ad93ffff,665
8919694ad97ffff,405
8919694ad9bffff,695
8919694ada3ffff,660
8919694adabffff,330
8919694adb3ffff,455
8919694adbbffff,1495
8919694adc3ffff,745
8919694adc7ffff,525
8919694adcbffff,700
8919694adcfffff,285
8919694add3ffff,835
8919694add7ffff,465
8919694addbffff,650
8919694ae23ffff,10
8919694ae27ffff,20
8919694ae2fffff,10
8919694ae93ffff,5
8919694aedbffff,5
8919694b02bffff,5
8919694b03bffff,10
8919694b04bffff,5
8919694b063ffff,385
8919694b067ffff,735
8919694b06bffff,735
8919694b06fffff,730
8919694b097ffff,10
8919694b0b3ffff,10
8919694b103ffff,10
8919694b10bffff,450
8919694b10fffff,650
8919694b11bffff,20
8919694b127ffff,10
8919694b12bffff,50
8919694b12fffff,15
8919694b147ffff,465
8919694b14fffff,45
8919694b163ffff,660
8919694b167ffff,560
8919694b16bffff,795
8919694b16fffff,895
8919694b173ffff,700
8919694b177ffff,165
8919694b17bffff,550
8919694b193ffff,10
8919694b1c7ffff,5
8919694b1d3ffff,25
8919694b203ffff,85
8919694b207ffff,85
8919694b20bffff,25
